FECHA ,FUENTE,TEXTO,LINK ,ETIQUETA
2016-2023,WWF LIVING AMAZON REPORT 2016.,"El aumento de las represas en la Amazonia amenaza el flujo natural de sus ríos, altera los ciclos naturales y pone en grave riesgo especies como los delfines y peces migratorios. El suministro de agua para las comunidades locales y el transporte de alimentos, también se ven afectados por cuenta de la producción de energía en la selva amazónica. En la Amazonia hay 154 represas para la producción de energía hidroeléctrica y se planea la construcción de otras 277 en los próximos años.","https://www.wwf.org.co/_donde_trabajamos_/amazonas/las_seis_grandes_amenazas_de_la_amazonia/#:~:text=Desde%20el%20año%202000%20hasta,la%20deforestación%20en%20la%20región.",AUMENTO DE REPRESAS HIDROELECTRICAS.
2016-2023,WWF LIVING AMAZON REPORT 2016.,"Las carreteras, las vías férreas y las nuevas rutas de transporte fluvial están transformando la Amazonia. Actualmente decenas de miles de kilómetros de carreteras atraviesan sus bosques; y la construcción de nuevas rutas seguirá aumentando. En este momento más de 20 proyectos de construcción de carreteras gigantes ejercen presión sobre la Amazonia, lo que puede generar un rápido aumento de la pérdida de bosques.","https://www.wwf.org.co/_donde_trabajamos_/amazonas/las_seis_grandes_amenazas_de_la_amazonia/#:~:text=Desde%20el%20año%202000%20hasta,la%20deforestación%20en%20la%20región.",DEFORESTACION.
06 DE JUNIO DE 2015,EL TIEMPO ,"La afectación ambiental ocasionada por el derrame de cerca de 130.000 galones de crudo obligado por las Farc en putumayo se prolonga por meses, e incluso años, en la vegetación y las fuentes hídricas.",https://www.eltiempo.com/archivo/documento/CMS-15924297,CONTAMINACION.
ENERO DE 2014,CORPOAMAZONIA ,Afectación por contaminacion con hidrocarburos en afluentes hidricos en Puerto Asis que presta el servicio a 9.000 habitantes del municipio. Sobre esta situación se busca la identificación y evaluación para determinar el grado de contaminación de la Quebrada Agua Negra que surte agua para el cinsumo del municipio.,https://www.corpoamazonia.gov.co/index.php/noticias/426-corpoamazonia-evalua-afectaciones-ambientales-por-derrame-de-crudo-en-puerto-asis-y-orito,CONTAMINACION.
05 DE OCTUBRE DE 2019,NOTICIAS RCN ,"En 2019 se han registrado 19 atentados contra este oleoducto que transporta el crudo entre Putumayo y Nariño hacia el puerto de Tumaco, en el Pacífico. El derrame de crudo afecto el rio Guamuez en Orito Putumayo.",https://www.noticiasrcn.com/nacional/derrame-de-crudo-en-rio-guamuez-tras-atentado-oleoducto-trasandino-en-orito-putumayo-347995,CONTAMINACION.
09 DE JUNIO DE 2015,MINAMBIENTE.GOV,"el derrame del hidrocarburo afectó 9 humedales; 7 en la vereda Las Cabañas y 2 más en la Vereda de Santa Rosa, lo que suma 3,5 hectáreas de humedales afectados, causando un grave deterioro al ecosistema de fauna y flora en la región.",https://archivo.minambiente.gov.co/index.php/noticias-minambiente/1846-graves-e-irreversibles-danos-ambientales-causo-derrame-de-crudo-en-putumayo-ministro-vallejo,CONTAMINACION.
23 DE JUNIO DE 2020,SEMANA,"En las localidades de Curillo, Solita y Solano fue declarada la emergencia sanitaria para prevenir la captación de agua para sus acueductos. Empresa petrolera activó plan de contingencia. Se cree que contaminación fue producida por una extracción ilegal de crudo.",https://www.semana.com/medio-ambiente/articulo/derrame-de-petroleo-afecta-a-tres-poblaciones-del-caqueta/52245/,CONTAMINACION.
23 DE JUNIO DE 2020,RTVC,Comunidades que habitan en la Inspección de Puerto Limón evidenciaron los olores a petróleo en el momento que crecía el río Mocoa por las fuertes lluvias en la zona. Se trató del daño en la tubería que atraviesa el río y conduce gas y crudo lo que originó la contaminación hacia aguas del río Caquetá.,https://www.radionacional.co/actualidad/medio-ambiente/contaminados-los-rios-mocoa-y-caqueta-por-vertimiento-de-petroleo,CONTAMINACION.
26 DE ENERO DE 2022,CARACOL RADIO,autoridades evalúan daños ambientales generados por el derrame de crudo; a causa del ataque perpetrado contra dos carrotanques en la vía que de Puerto Rico conduce hacia San Vicente del Caguán en el norte del Caquetá.,https://caracol.com.co/emisora/2022/01/26/neiva/1643211475_197403.html,CONTAMINACION.
17 DE ENERO DE 2022,WRADIO ,"Una embarcación naufragó en el río con 12.000 galones de gasolina y 8.000 de Acpm. El barco “Luna Azul” de la empresa Transportes Caribe, que cubría la ruta Puerto Asís- Puerto Leguízamo, se volteó a 20 kilómetros del destino.",https://www.wradio.com.co/2023/06/01/solucion-electrica-en-plato-magdalena-implica-intervencion-de-afinia-air-e/,CONTAMINACION.
7 mayo 2020,BIODIVERSIDAD,"En los últimos tres meses de 2019, la deforestación en Colombia se concentró en un 84.9% en la Amazonia, de acuerdo con el Instituto de Hidrología, Meteorología y Estudios Ambientales (Ideam).",https://www.biodiversidadla.org/Noticias/El-85-de-la-deforestacion-en-Colombia-se-concentra-en-la-Amazonia,DEFORESTACION
11 julio de 2019,MONGABAY,"Colombia: el 70% de la deforestación de 2018 ocurrió en la Amazonía. Durante los primeros seis meses de este año mucho se habló sobre la cifra de deforestación en Colombia en el 2018. Se esperaban noticias negativas. El mismo Ministerio de Ambiente había dicho que, dentro de sus proyecciones, esperaba una pérdida entre 240 000 y 260 000 hectáreas de bosque, es decir, un incremento entre el 9 y el 18 % comparado con el 2017 cuando la cifra se ubicó en 219 973 hectáreas deforestadas.",https://es.mongabay.com/2019/07/deforestacion-colombia-2018-amazonia/,DEFORESTACION
